a52dec 0.8.0-2
kcontacts5 5.115.0-1
kcoreaddons5 5.115.0-1
kcrash5 5.115.0-1
kcron 23.08.5-1
kdav5 1:5.115.0-1
kdbusaddons5 5.115.0-1
kde-cli-tools 5.27.10-1
kde-dev-scripts 23.08.5-1
kde-dev-utils 23.08.5-1
kde-gtk-config 5.27.10-1
kde-inotify-survey 23.08.5-1
kdebugsettings 23.08.5-1
kdeclarative5 5.115.0-1
kdeconnect 23.08.5-1
kdecoration 5.27.10-1
kded5 5.115.0-1
kdeedu-data 23.08.5-1
kdegraphics-mobipocket 23.08.5-1
kdegraphics-thumbnailers 23.08.5-1
kdelibs4support 5.115.0-1
kdenetwork-filesharing 23.08.5-1
kdenlive 23.08.5-1
kdepim-addons 23.08.5-1
kdepim-runtime 23.08.5-1
kdeplasma-addons 5.27.10-2
kdesdk-kio 23.08.5-1
kdesdk-thumbnailers 23.08.5-1
kdesu5 5.115.0-1
kdevelop 23.08.5-1
kdevelop-php 23.08.5-1
kdevelop-python 23.08.5-1
kdf 23.08.5-1
kdiagram5 2.8.0-1
kdialog 23.08.5-1
kdiamond 23.08.5-1
kdnssd5 5.115.0-1
kdoctools5 5.115.0-1
kdsoap-qt5 2.2.0-1
keditbookmarks 23.08.5-1
kemoticons 5.115.0-1
kernel-headers-musl 4.19.88-2
keysmith 23.08.5-1
keyutils 1.6.3-2
kfilemetadata5 5.115.0-1
kfind 23.08.5-1
kfourinline 23.08.5-1
kgamma 5.27.10-2
kgeography 23.08.5-1
kget 23.08.5-1
kglobalaccel5 5.115.0-1
kgoldrunner 23.08.5-1
kgpg 23.08.5-1
kguiaddons5 5.115.0-1
khangman 23.08.5-1
khealthcertificate 23.01.0-2
khelpcenter 23.08.5-1
kholidays5 1:5.115.0-1
khotkeys 5.27.10-1
khtml 5.115.0-1
ki18n5 5.115.1-1
kiconthemes5 5.115.0-1
kidentitymanagement 23.08.5-1
kidletime5 5.115.0-1
kig 23.08.5-1
kigo 23.08.5-1
killbots 23.08.5-1
kimageannotator-qt5 0.7.0-3
kimagemapeditor 23.08.5-1
kimap 23.08.5-1
kinfocenter 5.27.10-1
kinit 5.115.0-1
kio-admin 23.08.5-1
kio-extras 23.08.5-1
kio-fuse 5.1.0-1
kio-gdrive 23.08.5-1
kio-zeroconf 23.08.5-1
kio5 5.115.0-1
kirigami-addons5 0.11.0-7
kirigami-gallery 23.08.5-1
kirigami2 5.115.0-1
kiriki 23.08.5-1
kitemmodels5 5.115.0-1
kitemviews5 5.115.0-1
kiten 23.08.5-1
kitinerary 23.08.5-1
kjobwidgets5 5.115.0-1
kjournald 23.08.5-1
kjs 5.115.0-1
kjumpingcube 23.08.5-1
kldap 23.08.5-1
kleopatra 23.08.5-1
klettres 23.08.5-1
klickety 23.08.5-1
klines 23.08.5-1
kmag 23.08.5-1
kmahjongg 23.08.5-1
kmail 23.08.5-1
kmail-account-wizard 23.08.5-1
kmailtransport 23.08.5-1
kmbox 23.08.5-1
kmenuedit 5.27.10-1
kmime 23.08.5-1
kmines 23.08.5-1
kmix 23.08.5-1
kmod 31-1
kmousetool 23.08.5-1
kmouth 23.08.5-1
kmplot 23.08.5-1
kmscon 9.0.0-1
knavalbattle 23.08.5-1
knetwalk 23.08.5-1
knewstuff5 5.115.0-1
knights 23.08.5-1
knotes 23.08.5-1
knotifications5 5.115.0-1
knotifyconfig5 5.115.0-1
koko 23.08.5-1
kolf 23.08.5-1
kollision 23.08.5-1
kolourpaint 23.08.5-1
kompare 23.08.5-1
kongress 23.08.5-1
konqueror 23.08.5-1
konquest 23.08.5-1
konsole 23.08.5-1
kontact 23.08.5-1
kontactinterface 23.08.5-1
kontrast 23.08.5-1
konversation 23.08.5-1
kopeninghours 23.08.5-1
kopete 23.08.5-1
korganizer 23.08.5-1
kosmindoormap 23.08.5-1
kpackage5 5.115.0-1
kparts5 5.115.0-1
kpat 23.08.5-1
kpeople5 5.115.0-1
kpeoplevcard 0.1-2
kpimtextedit 23.08.5-1
kpipewire 5.27.10-1
kpkpass 23.08.5-1
kplotting5 5.115.0-1
kpmcore 23.08.5-1
kpty5 5.115.0-1
kpublictransport 23.08.5-1
kqtquickcharts 23.08.5-1
kquickcharts5 5.115.0-1
kquickimageeditor5 0.3.0-2
krb5 1.21.2-2
krdc 23.08.5-1
krecorder 23.08.5-1
kreversi 23.08.5-1
krfb 23.08.5-1
kross 5.115.0-1
kruler 23.08.5-1
krunner5 5.115.0-1
ksanecore 23.08.5-1
kscreen 5.27.10-1
kscreenlocker 5.27.10-1
kservice5 5.115.0-1
kshisen 23.08.5-1
ksirk 23.08.5-1
ksmtp 23.08.5-1
ksnakeduel 23.08.5-1
kspaceduel 23.08.5-1
ksquares 23.08.5-1
ksshaskpass 5.27.10-1
ksudoku 23.08.5-1
ksystemlog 23.08.5-1
ksystemstats 5.27.10-1
kteatime 23.08.5-1
ktextaddons 1.5.3-1
ktexteditor5 5.115.0-1
ktextwidgets5 5.115.0-1
ktimer 23.08.5-1
ktnef 23.08.5-1
ktorrent 23.08.5-1
ktouch 23.08.5-1
ktrip 23.08.5-1
ktuberling 23.08.5-1
kturtle 23.08.5-1
kubrick 23.08.5-1
kunitconversion5 5.115.0-1
kuserfeedback5 1.3.0-4
kwallet-pam 5.27.10-1
kwallet5 5.115.0-1
kwalletmanager 23.08.5-1
kwave 23.08.5-1
kwayland-integration 5.27.10-1
kwayland5 5.115.0-1
kweather 23.08.5-1
kweathercore 0.7-3
kwidgetsaddons5 5.115.0-1
kwin 5.27.10-2
kwindowsystem5 5.115.0-1
kwordquiz 23.08.5-1
kwrited 5.27.10-1
kxmlgui5 5.115.0-1
l-smash 2.14.5-3
lame 3.100-4
layer-shell-qt 5.27.10-1
lcms2 2.16-1
ldb 2:2.8.0-1
ldns 1.8.3-2
leptonica 1.84.1-2
less 1:643-1
lib32-alsa-lib 1.2.11-1
lib32-alsa-plugins 1.2.7.1-2
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-3
lib32-curl 8.6.0-3
lib32-e2fsprogs 1.47.0-1
lib32-expat 2.6.0-1
lib32-gcc-libs 13.2.1-5
lib32-glibc 2.39-1
lib32-icu 74.2-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.21.2-1
lib32-libcap 2.69-1
lib32-libdrm 2.4.119-1
lib32-libelf 0.190-1
lib32-libffi 3.4.6-1
lib32-libgcrypt 1.10.3-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.47-1
lib32-libidn2 2.3.7-1
lib32-libldap 2.6.6-1
lib32-libnghttp2 1.59.0-2
lib32-libnghttp3 1.2.0-1
lib32-libpciaccess 0.17-1
lib32-libpsl 0.21.2-1
lib32-libssh2 1.11.0-1
lib32-libtasn1 4.19.0-1
lib32-libtirpc 1.3.4-1
lib32-libunistring 1.1-1
lib32-libunwind 1.7.2-1
lib32-libx11 1.8.7-1
lib32-libxau 1.0.11-1
lib32-libxcb 1.16-1
lib32-libxcrypt 4.4.36-1
lib32-libxcrypt-compat 4.4.36-1
lib32-libxdamage 1.1.6-1
lib32-libxdmcp 1.1.4-1
lib32-libxext 1.3.5-1
lib32-libxfixes 6.0.1-1
lib32-libxml2 2.12.5-1
lib32-libxshmfence 1.3.2-1
lib32-libxss 1.2.4-1
lib32-libxxf86vm 1.1.5-1
lib32-llvm-libs 16.0.6-2
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-2
lib32-mesa 1:24.0.1-1
lib32-ncurses 6.4_20230520-1
lib32-nspr 4.35-2
lib32-nss 3.98-1
lib32-openssl 1:3.2.1-1
lib32-p11-kit 0.25.3-1
lib32-pam 1.6.0-1
lib32-sqlite 3.45.0-1
lib32-systemd 255.3-1
lib32-vulkan-icd-loader 1.3.276-1
lib32-vulkan-intel 1:24.0.1-1
lib32-wayland 1.22.0-1
lib32-xcb-util-keysyms 0.4.1-1
lib32-xz 5.4.6-1
lib32-zlib 1.3.1-1
lib32-zstd 1.5.5-1
libaccounts-glib 1.26-2
libaccounts-qt 1.16-3
libadwaita 1:1.4.3-1
libaec 1.1.2-1
libaio 0.3.113-3
